name,genreId
Action,0
Adventure,1
Animation,2
Biography,3
Comedy,4
Crime,5
Documentary,6
Drama,7
Family,8
Fantasy,9
Film-Noir,10
History,11
Horror,12
Music,13
Musical,14
Mystery,15
News,16
Romance,17
Sci-Fi,18
Sport,19
Thriller,20
War,21
Western,22
